"","HP01_T","HP02_T","HP03_T","HP04_T","HP05_T","HP01_N","HP03_N","HP04_N","HP05_N"
"hsa-miR-222-3p",3877,10864,8387,15779,4022,1215,485,1309,1065
"hsa-miR-222-5p",11,15,16,35,0,0,15,11,0
"hsa-miR-223-3p",8584,6379,13891,18825,1790,13120,2123,6338,6030
"hsa-miR-223-5p",133,87,227,285,41,261,36,131,161
"hsa-miR-224-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-224-5p",2432,9248,21146,2405,1260,2255,393,682,929
"hsa-miR-2276-3p",0,10,0,19,0,0,19,0,13
"hsa-miR-2276-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-2277-3p",90,63,39,129,41,32,75,104,74
"hsa-miR-2277-5p",19,45,16,72,27,16,16,47,15
"hsa-miR-2278",0,0,0,0,0,0,14,0,0
"hsa-miR-2355-3p",22,91,52,56,30,19,14,21,35
"hsa-miR-2355-5p",0,21,0,14,0,0,0,0,0
"hsa-miR-2392",0,19,0,13,0,0,13,0,0
"hsa-miR-23a-3p",43601,170530,20706,86378,34926,10943,2379,13132,19538
"hsa-miR-23a-5p",0,15,0,22,0,0,19,0,0
"hsa-miR-23b-3p",25037,51218,3901,9038,14967,11885,2092,9839,14198
"hsa-miR-23b-5p",108,145,0,32,59,44,19,52,71
"hsa-miR-23c",129,316,44,162,102,40,10,65,90
"hsa-miR-24-1-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-24-2-5p",0,12,10,16,17,0,0,0,0
"hsa-miR-24-3p",33317,112757,12341,64772,23250,13631,2279,15115,18086
"hsa-miR-2467-3p",0,0,0,0,0,0,28,11,11
"hsa-miR-2467-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-25-3p",16392,25112,74021,45022,14454,15441,4360,9334,11106
"hsa-miR-25-5p",46,101,433,111,68,52,18,63,50
"hsa-miR-2681-3p",0,0,0,0,0,0,10,0,11
"hsa-miR-2681-5p",0,0,0,0,0,0,13,0,12
"hsa-miR-2682-3p",0,0,12,0,0,0,18,0,0
"hsa-miR-2682-5p",0,0,11,0,0,0,12,0,0
"hsa-miR-26a-1-3p",44,65,44,48,32,18,0,34,43
"hsa-miR-26a-2-3p",2794,3547,649,2278,1148,1730,313,1948,1880
"hsa-miR-26a-5p",213051,376269,55860,197234,87921,109121,33304,107063,138522
"hsa-miR-26b-3p",44,77,21,112,24,44,16,43,48
"hsa-miR-26b-5p",76652,141392,37341,130135,16629,48163,18288,34183,46493
"hsa-miR-27a-3p",14755,69824,9165,28175,12741,6118,932,6558,8877
"hsa-miR-27a-5p",940,467,632,1180,449,183,27,971,409
"hsa-miR-27b-3p",78425,131097,11703,27711,61503,69300,7339,69461,84676
"hsa-miR-27b-5p",54,95,0,23,44,30,0,72,75
"hsa-miR-28-3p",8209,13489,5290,14054,6888,5664,2260,5089,6861
"hsa-miR-28-5p",333,663,111,516,306,268,100,213,195
"hsa-miR-2861",0,0,0,0,0,0,34,22,0
"hsa-miR-2909",0,0,0,18,0,0,13,0,11
"hsa-miR-296-3p",121,70,36,27,31,40,39,86,52
"hsa-miR-296-5p",63,44,0,0,15,18,20,20,48
"hsa-miR-297",0,0,0,0,0,0,0,0,0
"hsa-miR-298",0,0,0,10,0,0,22,0,0
"hsa-miR-299-3p",50,150,0,0,14,86,12,88,111
"hsa-miR-299-5p",125,292,21,17,55,117,19,121,177
"hsa-miR-29a-3p",95197,154473,86288,118197,51417,35823,13590,55627,107806
"hsa-miR-29a-5p",44,196,55,101,31,21,13,52,59
"hsa-miR-29b-1-5p",21,36,18,32,0,21,0,0,21
"hsa-miR-29b-2-5p",79,121,39,70,23,43,16,37,63
"hsa-miR-29b-3p",10696,18092,10491,11143,5364,6009,4012,5536,8919
"hsa-miR-29c-3p",27080,40382,5972,18375,11375,28534,7489,45107,71521
"hsa-miR-29c-5p",405,881,104,539,154,300,97,805,859
"hsa-miR-300",0,0,0,0,0,13,18,0,0
"hsa-miR-301a-3p",103,355,188,413,133,127,26,62,105
"hsa-miR-301a-5p",0,16,0,12,0,0,0,0,0
"hsa-miR-301b-3p",11,51,21,39,51,10,0,0,22
"hsa-miR-301b-5p",0,0,0,0,0,0,14,0,0
"hsa-miR-302a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-302a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-302b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-302b-5p",19,71,0,23,10,0,14,0,0
"hsa-miR-302c-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-302c-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-302d-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-302d-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-302e",0,0,0,0,0,0,0,0,0
"hsa-miR-302f",0,0,0,0,0,0,0,0,0
"hsa-miR-3064-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3064-5p",13,19,13,38,0,11,13,14,10
"hsa-miR-30a-3p",2539,5386,1283,6627,1376,5211,442,7716,8788
"hsa-miR-30a-5p",20204,53997,12526,48943,11387,31386,4492,44847,71820
"hsa-miR-30b-3p",0,31,14,31,0,29,18,33,33
"hsa-miR-30b-5p",1075,4820,790,2299,1108,2258,458,4890,5533
"hsa-miR-30c-1-3p",96,111,39,158,27,93,13,98,129
"hsa-miR-30c-2-3p",191,342,166,747,183,676,33,597,1001
"hsa-miR-30c-5p",3727,11916,1766,8490,1570,4862,821,6506,7423
"hsa-miR-30d-3p",153,327,124,242,188,266,34,340,402
"hsa-miR-30d-5p",31937,58741,26591,42121,22728,34988,6865,29075,43226
"hsa-miR-30e-3p",4126,6955,1269,5172,1119,2397,747,3456,3788
"hsa-miR-30e-5p",10251,26996,4657,18178,4372,8567,3825,10520,15018
"hsa-miR-31-3p",12,49,0,224,235,0,38,13,48
"hsa-miR-31-5p",1568,3927,51,14488,11449,196,3932,537,1417
"hsa-miR-3115",0,0,0,23,60,0,0,0,0
"hsa-miR-3116",0,0,0,0,0,0,12,0,0
"hsa-miR-3117-3p",32,130,13,133,26,13,0,0,24
"hsa-miR-3117-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-3118",0,0,0,21,0,10,13,0,0
"hsa-miR-3119",0,0,0,0,0,0,0,0,0
"hsa-miR-3120-3p",11,31,0,25,15,0,0,0,11
"hsa-miR-3121-3p",0,0,0,0,0,0,10,0,0
"hsa-miR-3121-5p",0,0,0,0,0,0,11,0,0
"hsa-miR-3122",0,0,0,0,0,0,13,0,0
"hsa-miR-3123",0,0,0,0,0,0,0,0,0
"hsa-miR-3124-3p",0,0,0,0,0,0,23,0,0
"hsa-miR-3124-5p",0,0,0,24,0,0,11,0,0
"hsa-miR-3125",13,14,0,45,11,14,20,19,13
"hsa-miR-3126-3p",10,0,0,20,0,0,0,0,0
"hsa-miR-3126-5p",0,0,0,0,0,0,15,0,0
"hsa-miR-3127-3p",0,0,0,16,0,0,34,0,0
"hsa-miR-3127-5p",0,0,31,37,13,19,21,10,25
"hsa-miR-3128",0,0,0,15,0,0,0,0,16
"hsa-miR-3129-3p",11,29,0,24,0,0,29,0,10
"hsa-miR-3129-5p",23,32,14,65,41,0,24,0,25
"hsa-miR-3130-3p",0,0,0,0,0,0,11,0,0
"hsa-miR-3130-5p",10,0,0,13,0,0,14,0,11
"hsa-miR-3131",0,0,0,0,10,0,21,14,0
"hsa-miR-3132",0,0,0,18,0,0,34,0,0
"hsa-miR-3133",12,0,0,13,0,0,11,12,11
"hsa-miR-3134",0,0,0,0,0,0,0,0,0
"hsa-miR-3135a",0,0,0,0,0,0,10,0,0
"hsa-miR-3135b",138,202,117,108,147,35,82,55,52
"hsa-miR-3136-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3136-5p",0,0,0,17,0,0,0,0,0
"hsa-miR-3137",0,0,0,0,0,0,21,0,0
"hsa-miR-3138",0,0,0,23,0,0,12,0,10
"hsa-miR-3139",0,0,0,0,0,0,0,0,0
"hsa-miR-3140-3p",0,0,0,12,0,0,22,0,0
"hsa-miR-3140-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3141",43,42,31,138,12,43,55,30,25
"hsa-miR-3142",0,0,0,12,0,0,11,0,0
"hsa-miR-3143",0,0,0,0,0,0,0,0,0
"hsa-miR-3144-3p",10,0,0,40,0,0,11,19,24
"hsa-miR-3144-5p",0,0,0,15,0,0,0,0,0
"hsa-miR-3145-3p",11,0,11,26,0,0,16,0,12
"hsa-miR-3145-5p",0,0,0,12,0,0,17,0,11
"hsa-miR-3146",0,0,0,14,0,0,13,0,0
"hsa-miR-3147",0,0,0,13,0,0,18,0,0
"hsa-miR-3148",0,0,0,0,0,0,0,0,0
"hsa-miR-3149",0,0,0,13,0,0,11,0,0
"hsa-miR-3150a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3150b-3p",0,0,16,0,12,0,10,0,0
"hsa-miR-3150b-5p",0,0,16,0,0,0,14,0,12
"hsa-miR-3151-3p",0,0,0,11,0,0,37,0,10
"hsa-miR-3151-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-3152-3p",0,0,0,11,0,0,0,0,0
"hsa-miR-3152-5p",0,0,0,0,0,0,12,0,0
"hsa-miR-3153",0,0,0,12,0,0,53,0,13
"hsa-miR-3154",0,0,0,31,0,0,18,0,0
"hsa-miR-3155a",0,0,0,0,0,0,13,0,0
"hsa-miR-3155b",0,0,0,12,0,0,17,0,0
"hsa-miR-3156-3p",0,0,11,23,11,0,28,15,20
"hsa-miR-3156-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3157-3p",0,0,0,0,0,0,12,0,0
"hsa-miR-3157-5p",0,0,0,11,0,11,0,0,0
"hsa-miR-3158-3p",23,11,11,28,0,0,20,12,0
"hsa-miR-3159",0,0,0,0,0,0,21,0,0
"hsa-miR-3160-3p",0,0,0,10,0,0,20,0,0
"hsa-miR-3160-5p",0,0,0,18,0,0,24,0,0
"hsa-miR-3161",0,0,0,11,0,0,19,0,0
"hsa-miR-3162-3p",0,0,0,10,10,0,13,11,13
"hsa-miR-3162-5p",0,0,0,0,0,0,21,0,0
"hsa-miR-3163",0,0,0,0,0,0,0,0,0
"hsa-miR-3164",0,0,0,12,0,0,0,0,0
"hsa-miR-3165",0,0,0,0,0,0,0,0,0
"hsa-miR-3166",0,0,0,0,0,0,0,0,0
"hsa-miR-3167",0,0,0,0,0,0,0,0,0
"hsa-miR-3168",12,39,0,11,0,0,35,64,14
"hsa-miR-3169",0,0,0,0,0,0,0,0,0
"hsa-miR-3170",0,0,0,14,13,0,29,0,0
"hsa-miR-3171",0,0,0,0,0,0,0,0,0
"hsa-miR-3173-3p",0,0,0,13,0,0,18,0,0
"hsa-miR-3173-5p",11,0,13,24,13,12,20,0,0
"hsa-miR-3174",20,14,17,39,17,10,29,10,20
"hsa-miR-3175",34,82,11,248,77,96,12,116,374
"hsa-miR-3176",0,0,21,33,0,0,24,0,28
"hsa-miR-3177-3p",0,0,0,0,0,0,12,0,0
"hsa-miR-3177-5p",0,0,0,0,0,0,12,0,0
"hsa-miR-3178",0,0,10,11,0,0,100,0,12
"hsa-miR-3179",0,0,0,10,0,0,38,0,0
"hsa-miR-3180",0,0,0,0,0,0,0,0,0
"hsa-miR-3180-3p",0,0,0,0,0,0,36,0,0
"hsa-miR-3180-5p",13,0,14,26,0,0,2493,10,14
"hsa-miR-3181",0,0,10,0,0,0,83,19,0
"hsa-miR-3182",14,0,12,13,0,0,13,0,13
"hsa-miR-3183",0,0,11,24,0,0,21,12,23
"hsa-miR-3185",0,0,0,12,0,0,18,0,14
"hsa-miR-3186-3p",0,0,0,0,0,0,12,0,0
"hsa-miR-3186-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3187-3p",0,17,39,28,24,11,20,15,35
"hsa-miR-3187-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-3188",0,0,0,14,0,0,0,12,0
"hsa-miR-3189-3p",0,0,0,0,0,0,10,0,0
"hsa-miR-3189-5p",0,0,0,0,0,0,20,0,0
"hsa-miR-3190-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3190-5p",0,0,0,0,0,0,17,0,11
"hsa-miR-3191-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3191-5p",0,0,0,12,0,12,14,0,0
"hsa-miR-3192-3p",0,0,12,19,0,0,52,11,12
"hsa-miR-3192-5p",0,0,0,12,0,0,18,0,0
"hsa-miR-3193",12,0,0,13,0,0,15,0,0
"hsa-miR-3194-3p",0,0,0,0,0,0,18,0,0
"hsa-miR-3194-5p",0,0,0,0,0,0,22,0,0
"hsa-miR-3195",15,26,24,10,28,49,85,128,60
"hsa-miR-3196",0,0,0,13,0,11,399,19,0
"hsa-miR-3197",0,0,13,0,0,0,14,10,0
"hsa-miR-3198",0,0,0,11,11,0,22,0,12
"hsa-miR-3199",0,24,13,23,0,0,14,0,0
"hsa-miR-32-3p",11,22,0,23,0,13,0,0,12
"hsa-miR-32-5p",1005,1340,543,967,658,1113,533,523,1069
"hsa-miR-3200-3p",14,32,10,57,67,26,12,16,35
"hsa-miR-3200-5p",0,0,0,0,0,0,25,0,0
"hsa-miR-3201",0,0,0,11,0,0,0,0,0
"hsa-miR-3202",0,0,0,32,0,0,18,0,0
"hsa-miR-320a",6603,16030,5261,11617,3010,4372,1036,10590,7066
"hsa-miR-320b",389,940,637,497,458,260,105,650,419
"hsa-miR-320c",501,1048,2286,707,1303,361,420,762,560
"hsa-miR-320d",144,448,325,191,268,144,38,329,239
"hsa-miR-320e",20,88,46,28,67,13,12,44,40
"hsa-miR-323a-3p",335,346,24,23,97,350,35,228,373
"hsa-miR-323a-5p",0,0,0,10,0,0,13,0,0
"hsa-miR-323b-3p",142,50,11,16,41,138,0,104,137
"hsa-miR-323b-5p",11,10,0,38,0,0,10,21,32
"hsa-miR-324-3p",184,267,54,246,133,113,50,153,182
"hsa-miR-324-5p",207,436,181,791,735,371,70,425,591
"hsa-miR-325",0,0,0,13,0,0,0,0,20
"hsa-miR-326",95,134,37,291,49,66,46,91,111
"hsa-miR-328-3p",363,252,101,242,113,94,33,58,94
"hsa-miR-328-5p",10,0,0,18,0,0,13,0,0
"hsa-miR-329-3p",97,160,0,0,29,32,0,49,41
"hsa-miR-329-5p",17,11,0,15,0,11,17,0,13
"hsa-miR-330-3p",48,88,76,99,55,26,46,19,24
"hsa-miR-330-5p",45,134,106,129,74,43,28,37,39
"hsa-miR-331-3p",216,521,287,1027,145,364,37,133,438
"hsa-miR-331-5p",21,34,24,46,17,17,20,12,23
"hsa-miR-335-3p",800,996,438,79,186,289,86,417,222
"hsa-miR-335-5p",4922,10604,1322,2136,1427,2162,378,4142,3695
"hsa-miR-337-3p",46,76,0,10,14,26,13,42,51
"hsa-miR-337-5p",121,265,11,0,47,43,22,50,112
"hsa-miR-338-3p",927,3549,403,728,751,793,659,1355,1609
"hsa-miR-338-5p",16,592,70,25,124,27,18,19,24
"hsa-miR-339-3p",408,803,369,403,236,292,168,519,536
"hsa-miR-339-5p",2311,3611,1620,1926,1836,1165,238,1715,2735
"hsa-miR-33a-3p",0,17,0,21,11,0,17,0,15
"hsa-miR-33a-5p",16,72,0,13,13,0,0,0,13
"hsa-miR-33b-3p",0,0,0,0,0,0,16,0,0
"hsa-miR-33b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-340-3p",13,33,12,49,0,23,0,11,0
"hsa-miR-340-5p",2445,5934,1493,8009,1789,2929,454,1987,3012
"hsa-miR-342-3p",18560,21849,6302,13973,8951,9827,2694,4422,8668
"hsa-miR-342-5p",87,106,26,136,120,137,33,115,160
"hsa-miR-345-3p",0,0,0,11,0,0,11,12,0
"hsa-miR-345-5p",295,686,212,753,378,359,90,549,809
"hsa-miR-346",0,0,0,0,0,0,14,0,0
"hsa-miR-34a-3p",10,53,0,162,0,0,0,0,17
"hsa-miR-34a-5p",10800,28052,5448,151055,2915,5005,711,6553,11296
"hsa-miR-34b-3p",68,108,0,318,17,15,10,0,27
"hsa-miR-34b-5p",60,195,10,378,11,0,12,12,14
"hsa-miR-34c-3p",107,148,12,479,22,14,79,0,24
"hsa-miR-34c-5p",714,1977,102,5495,164,69,22,94,214
"hsa-miR-3529-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3591-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3605-3p",143,133,71,235,40,34,27,12,46
"hsa-miR-3605-5p",12,26,12,76,0,13,10,12,22
"hsa-miR-3606-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3606-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3607-3p",0,0,0,0,0,0,28,19,22
"hsa-miR-3607-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3609",0,27,92,17,155,16,269,12,45
"hsa-miR-361-3p",2048,3174,863,4425,2337,1141,456,1440,2946
"hsa-miR-361-5p",4229,8949,1934,6477,2134,2187,538,2081,2419
"hsa-miR-3610",0,0,10,0,0,0,56,16,0
"hsa-miR-3611",0,12,0,15,11,0,0,11,14
"hsa-miR-3612",0,0,0,25,0,0,14,0,14
"hsa-miR-3613-3p",15,41,15,70,15,10,21,31,23
"hsa-miR-3613-5p",220,882,121,2148,245,498,108,357,549
"hsa-miR-3614-3p",0,14,0,19,10,0,50,13,13
"hsa-miR-3614-5p",0,0,0,25,0,0,22,10,14
"hsa-miR-3615",204,178,464,227,127,167,227,80,131
"hsa-miR-3616-3p",10,11,0,10,0,0,12,0,0
"hsa-miR-3616-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3617-3p",0,12,13,14,0,0,19,0,0
"hsa-miR-3617-5p",12,15,38,0,0,11,0,0,0
"hsa-miR-3618",0,0,0,10,0,0,0,0,0
"hsa-miR-3619-3p",0,0,0,0,0,0,14,0,0
"hsa-miR-3619-5p",0,0,0,0,0,0,15,0,0
"hsa-miR-362-3p",38,141,0,59,36,21,22,91,78
"hsa-miR-362-5p",212,484,34,326,88,73,55,265,187
"hsa-miR-3620-3p",0,0,0,19,0,0,33,0,0
"hsa-miR-3620-5p",0,0,0,0,0,0,12,0,0
"hsa-miR-3621",0,0,0,0,0,0,45,0,0
"hsa-miR-3622a-3p",0,0,0,0,0,0,14,0,11
"hsa-miR-3622a-5p",0,0,0,0,0,0,70,0,12
"hsa-miR-3622b-3p",0,0,0,10,0,0,20,0,0
"hsa-miR-3622b-5p",0,0,0,0,0,0,14,0,0
"hsa-miR-363-3p",149,368,34,629,24,224,176,238,250
"hsa-miR-363-5p",0,0,0,10,0,0,12,0,0
"hsa-miR-3646",0,0,0,12,0,0,13,0,0
"hsa-miR-3648",0,0,0,0,0,0,101,0,0
"hsa-miR-3649",0,0,0,0,0,0,17,0,0
"hsa-miR-3650",0,0,0,11,0,0,14,0,0
"hsa-miR-3651",0,0,0,10,0,0,16,0,0
"hsa-miR-3652",0,0,0,0,0,0,16,0,12
"hsa-miR-3653-3p",0,0,0,20,0,0,230,0,18
"hsa-miR-3653-5p",10,13,10,18,0,10,30,0,10
"hsa-miR-3654",0,0,0,0,0,0,24,0,0
"hsa-miR-3655",0,0,0,0,0,0,46,0,0
"hsa-miR-3656",0,0,0,22,0,55,1269,66,36
"hsa-miR-3657",0,0,0,0,0,0,0,0,0
"hsa-miR-3658",0,0,0,0,0,0,0,0,0
"hsa-miR-3659",0,0,0,0,0,0,10,0,0
"hsa-miR-365a-3p",367,1616,354,1265,134,502,30,467,547
"hsa-miR-365a-5p",29,23,34,13,17,33,10,38,31
"hsa-miR-365b-3p",450,2316,371,1604,88,385,27,392,436
"hsa-miR-365b-5p",17,30,52,64,0,29,10,36,17
"hsa-miR-3660",0,0,0,0,0,0,17,0,0
"hsa-miR-3661",0,0,0,14,0,0,20,0,0
"hsa-miR-3662",0,0,0,14,0,0,14,0,0
"hsa-miR-3663-3p",0,0,11,13,0,0,43,0,10
"hsa-miR-3663-5p",0,10,0,10,0,0,40,0,0
"hsa-miR-3664-3p",0,0,0,13,0,0,10,0,0
"hsa-miR-3664-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3665",0,0,0,0,0,0,937,33,18
"hsa-miR-3666",0,0,0,0,0,0,0,0,0
"hsa-miR-3667-3p",0,0,12,28,0,0,18,21,16
"hsa-miR-3667-5p",0,0,0,15,0,0,14,0,0
"hsa-miR-3668",0,0,0,0,0,0,0,0,0
"hsa-miR-3669",0,0,0,0,0,0,0,0,0
"hsa-miR-367-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-367-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3670",0,0,0,0,0,0,18,0,0
"hsa-miR-3671",0,0,0,0,0,0,0,0,0
"hsa-miR-3672",0,0,0,0,0,0,0,0,0
"hsa-miR-3673",0,0,0,0,0,0,0,0,0
"hsa-miR-3674",11,11,0,0,0,0,0,0,0
"hsa-miR-3675-3p",0,0,0,0,0,0,12,0,0
"hsa-miR-3675-5p",0,0,0,0,0,0,18,0,0
"hsa-miR-3677-3p",0,0,0,11,0,0,14,0,11
"hsa-miR-3677-5p",0,0,0,0,0,0,18,0,0
"hsa-miR-3678-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3678-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3679-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3679-5p",18,16,38,29,14,16,15,12,22
"hsa-miR-3680-3p",0,0,0,0,0,0,14,0,0
"hsa-miR-3680-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3681-3p",35,52,16,68,57,25,19,21,47
"hsa-miR-3681-5p",0,0,14,86,0,0,0,0,0
"hsa-miR-3682-3p",0,0,0,0,0,0,11,0,0
"hsa-miR-3682-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3683",0,0,0,10,0,0,10,0,0
"hsa-miR-3684",0,0,0,0,0,0,10,0,0
"hsa-miR-3685",0,0,0,13,0,0,42,0,0
"hsa-miR-3686",0,0,16,13,0,0,16,0,0
"hsa-miR-3687",0,0,0,0,0,0,364,0,0
"hsa-miR-3688-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3688-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3689a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3689a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3689b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3689b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3689c",0,0,0,0,0,0,0,0,0
"hsa-miR-3689d",0,0,0,0,0,0,24,0,0
"hsa-miR-3689e",0,0,0,0,0,0,0,0,0
"hsa-miR-3689f",0,0,0,0,0,0,0,0,0
"hsa-miR-369-3p",584,1084,23,19,97,401,43,360,339
"hsa-miR-369-5p",482,689,31,25,118,350,24,203,353
"hsa-miR-3690",0,20,0,27,0,0,17,0,0
"hsa-miR-3691-3p",0,0,0,17,0,0,18,0,10
"hsa-miR-3691-5p",0,0,0,14,0,0,11,0,0
"hsa-miR-3692-3p",0,0,0,0,0,0,15,11,19
"hsa-miR-3692-5p",181,91,80,291,20,63,47,39,40
"hsa-miR-370-3p",321,304,14,20,141,379,18,406,363
"hsa-miR-370-5p",0,14,0,0,0,0,75,0,0
"hsa-miR-3713",0,0,0,0,0,0,0,0,0
"hsa-miR-3714",0,0,0,0,0,0,11,0,0
"hsa-miR-371a-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-371a-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-371b-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-371b-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-372-3p",0,0,0,0,0,0,43,0,0
"hsa-miR-372-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-373-3p",0,0,0,0,0,0,0,0,11
"hsa-miR-373-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-374a-3p",532,1250,187,1451,360,319,96,223,457
"hsa-miR-374a-5p",2291,8800,641,6178,897,953,941,867,1322
"hsa-miR-374b-3p",102,209,34,195,52,58,23,50,75
"hsa-miR-374b-5p",968,2400,261,1681,236,441,216,550,572
"hsa-miR-374c-5p",0,10,0,0,0,0,0,0,0
"hsa-miR-375",52972,8468,2425,657,5918,128005,8728,365751,168634
"hsa-miR-376a-2-5p",13,22,0,0,0,0,0,11,22
"hsa-miR-376a-3p",398,1549,32,33,110,254,16,630,693
"hsa-miR-376a-5p",20,28,0,0,0,0,0,0,25
"hsa-miR-376b-3p",133,415,22,17,57,124,12,307,442
"hsa-miR-376b-5p",0,21,0,0,0,0,0,0,11
"hsa-miR-376c-3p",561,2073,49,41,127,554,68,1038,850
"hsa-miR-376c-5p",25,88,0,0,0,16,0,24,42
"hsa-miR-377-3p",73,213,13,14,36,95,19,163,206
"hsa-miR-377-5p",12,20,0,0,0,15,0,25,17
"hsa-miR-378a-3p",3782,4033,2472,31119,2417,2824,6124,7630,4923
"hsa-miR-378a-5p",100,160,91,1130,63,55,162,116,109
"hsa-miR-378b",0,0,0,35,0,0,27,16,18
"hsa-miR-378c",617,771,591,4288,550,662,941,1454,1374
"hsa-miR-378d",66,112,59,481,81,88,120,188,188
"hsa-miR-378e",10,12,0,62,10,17,20,26,17
"hsa-miR-378f",0,10,0,84,11,11,17,38,24
"hsa-miR-378g",27,24,21,96,25,17,29,42,16
"hsa-miR-378h",0,0,0,54,0,11,10,24,13
"hsa-miR-378i",19,20,17,150,29,29,32,68,48
"hsa-miR-378j",0,0,0,18,0,0,15,10,0
"hsa-miR-379-3p",0,22,0,0,0,11,0,12,0
"hsa-miR-379-5p",2595,3257,187,191,1193,3723,133,3143,4022
"hsa-miR-380-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-380-5p",10,15,0,0,0,0,0,0,15
"hsa-miR-381-3p",1124,1733,65,78,447,2271,74,1668,1610
"hsa-miR-381-5p",0,0,0,0,0,13,0,0,30
"hsa-miR-382-3p",408,551,19,29,134,235,17,185,330
"hsa-miR-382-5p",1982,2891,136,120,883,2240,71,2875,3424
"hsa-miR-383-3p",0,0,0,16,0,0,35,0,0
"hsa-miR-383-5p",0,0,0,10,0,123,20,55,74
"hsa-miR-384",0,0,0,0,0,0,0,0,0
"hsa-miR-3907",0,0,0,15,0,0,27,0,0
"hsa-miR-3908",0,0,0,0,0,0,0,0,0
"hsa-miR-3909",11,13,0,17,0,0,0,0,0
"hsa-miR-3910",0,11,0,0,0,0,0,0,10
"hsa-miR-3911",0,0,11,23,10,0,18,0,12
"hsa-miR-3912-3p",0,32,0,21,0,0,0,0,0
"hsa-miR-3912-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3913-3p",10,26,0,18,16,0,10,10,0
"hsa-miR-3913-5p",50,93,19,104,79,18,0,39,39
"hsa-miR-3914",0,0,0,15,0,0,15,0,0
"hsa-miR-3915",0,0,0,0,0,0,0,0,0
"hsa-miR-3916",0,0,12,13,0,0,27,0,14
"hsa-miR-3917",0,0,0,0,0,0,18,0,0
"hsa-miR-3918",0,0,0,0,0,0,28,0,0
"hsa-miR-3919",0,10,0,10,0,0,15,0,0
"hsa-miR-3920",0,0,0,0,0,0,11,0,0
"hsa-miR-3921",0,0,0,0,0,0,0,0,0
"hsa-miR-3922-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3922-5p",0,10,0,24,10,10,27,13,11
"hsa-miR-3923",0,0,0,0,0,0,11,0,0
"hsa-miR-3924",0,0,0,0,0,0,0,0,0
"hsa-miR-3925-3p",0,0,0,13,0,0,16,0,0
"hsa-miR-3925-5p",0,0,0,12,0,0,18,0,11
"hsa-miR-3926",0,0,0,0,0,0,0,0,0
"hsa-miR-3927-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-3927-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-3928-3p",25,23,84,57,17,16,11,25,26
